range / 1;coarse / 1;gain / 1;tune;freq / Hz;Urms(P32) / V;Urms(P40) / V;Urms(P53) / V;Urms(P58) / V;Uavg(P32) / V;Uavg(P40) / V;Uavg(P53) / V;Uavg(P58) / V
0;11;2655;611;30861.866;0.4066142;1.726329;0.09445495;0.1439319;-0.01866211;-0.1145825;0.006404724;-0.1421237
0;11;2655;1122;30801.553;0.7520584;1.731264;0.09442486;0.1518614;-0.0759198;0.07578613;0.006555175;-0.1510703
0;11;2655;1633;30725.02;1.061161;1.670198;0.08281017;0.1524307;-0.1507025;0.1761206;0.007709045;-0.1515218
0;11;2655;2144;30648.383;1.426621;1.709926;0.08171039;0.1536218;-0.1137793;0.08769287;0.006404724;-0.1518562
0;11;2655;2655;30571.445;1.765175;1.707524;0.09941636;0.175486;0.04461548;-0.07872925;0.006203918;-0.175
0;11;2655;3166;30494.356;2.045307;1.652544;0.09344037;0.1896688;0.1894311;-0.1839465;0.006772461;-0.1887625
0;11;2655;3677;30417.047;2.40537;1.661579;0.09704842;0.1911644;0.1852173;-0.1527759;0.006454773;-0.1903847
0;11;3166;100;30066.087;0.06609895;9.9E+037;0.09087645;0.2403203;-0.00662207;9.9E+037;0.007374573;-0.235301
0;11;3166;611;29972.126;0.4066274;2.060021;0.09793349;0.2493456;-0.01451477;-0.1533105;0.006772461;-0.2449332
0;11;3166;1122;29918.009;0.7386582;2.05203;0.09504091;0.2512417;0.01190613;-0.1509033;0.005903015;-0.2503511
0;11;3166;1633;29843.673;1.075415;2.022345;0.083676;0.2509674;-0.1607361;0.2237463;0.007742614;-0.2508194
0;11;3166;2144;29769.238;1.424908;2.038322;0.09457704;0.2518978;-0.08274231;0.0619397;0.00565216;-0.2520401
0;11;3166;2655;29694.509;1.73087;2.003517;0.09400064;0.2612569;0.1785278;-0.2509033;0.006505127;-0.2618562
0;11;3166;3166;29619.639;2.097165;2.01832;0.09320743;0.2709842;-0.005217285;-0.03505005;0.005936584;-0.2693646
0;11;3166;3677;29544.55;2.414323;1.986313;0.08341378;0.2710052;-0.3358527;0.2472241;0.007692261;-0.2705351
0;11;3677;100;29177.962;0.0673544;9.9E+037;0.09360488;0.3592383;0.005197327;9.9E+037;0.007023315;-0.3604181
0;11;3677;611;29075.202;0.4138666;2.394016;0.08321307;0.3685817;-0.09250854;0.2891638;0.007809448;-0.367475
0;11;3677;1122;29034.264;0.7387053;2.38601;0.09676022;0.3706962;0.04862854;-0.3013379;0.006688843;-0.3701338
0;11;3677;1633;28962.127;1.07812;2.360976;0.08168788;0.3708343;-0.1248163;0.1847498;0.006856079;-0.3704683
0;11;3677;2144;28889.894;1.404153;2.337704;0.08142543;0.3708176;-0.04762512;0.01518433;0.007240905;-0.3703847
0;11;3677;2655;28817.382;1.743337;2.342481;0.09700533;0.3789596;0.1290295;-0.222876;0.007173767;-0.3774414
0;11;3677;3166;28744.725;2.106577;2.350355;0.09166246;0.3848015;-0.3015387;0.299331;0.005484924;-0.3823244
0;11;3677;3677;28671.856;2.408497;2.309571;0.09514643;0.3906524;0.1337793;-0.1580603;0.006872864;-0.3902675
0;12;100;100;28274.197;0.06783849;0.06612242;0.09759825;0.2721855;0.009344483;0.005157227;0.005953064;0.2702341
0;12;100;611;28101.68;0.4186553;0.08615146;0.08321507;0.2700644;-0.09264221;0.03371216;0.007023315;0.2695317
0;12;100;1122;28134.995;0.747412;0.08066612;0.09510423;0.2662178;0.04735779;0.01966553;0.006588745;0.2640468
0;12;100;1633;28065.113;1.100198;0.08646147;0.08346188;0.2503148;-0.1711707;0.03511719;0.007207336;0.2488629
0;12;100;2144;27995.134;1.432343;0.08106317;0.09665821;0.2480681;0.1282947;0.02;0.006939697;0.2482274
0;12;100;2655;27924.887;1.785934;0.08744612;0.0850929;0.245728;-0.2444147;0.0337793;0.008177184;0.2469733
0;12;100;3166;27854.499;2.118957;0.08046686;0.0941908;0.2201512;0.2029431;0.01906372;0.006956482;0.2155853
0;12;100;3677;27783.906;2.463764;0.0863376;0.08225094;0.2107964;-0.2919733;0.0343811;0.007073669;0.210184
0;12;611;100;27386.022;0.06763348;0.4043227;0.08161415;0.1652504;-0.005003357;0.05103016;0.006772461;0.1613879
0;12;611;611;27241.688;0.3980017;0.392798;0.08477986;0.1521419;-0.02662231;-0.01371216;0.007976685;0.1498328
0;12;611;1122;27251.186;0.7246155;0.3903039;0.08138228;0.1505197;-0.01672241;-0.0116394;0.006739197;0.1494481
0;12;611;1633;27183.509;1.093952;0.4018352;0.0812877;0.1490269;-0.1385284;0.0363208;0.007106933;0.1489297
0;12;611;2144;27115.726;1.437275;0.4012955;0.09536762;0.142042;0.09097046;-0.03217407;0.006739197;0.1418394
0;12;611;2655;27047.696;1.744328;0.3905026;0.08536563;0.1305827;-0.1470233;0.02515015;0.008210754;0.1303847
0;12;611;3166;26979.519;2.033859;0.3817369;0.08513612;0.1302776;-0.003812866;-0.004949951;0.006789246;0.1293144
